Nome da Pousada,Preço,Distância da Praia,Cidade,Número de Avaliações
Pousada Pescador,R$ 370,150 m da praia,"Praia da Enseada, Ubatuba",1.044 avaliações
Oré Suítes e Chalés,R$ 400,350 m da praia,Ubatuba,184 avaliações
Belo Suítes,R$ 180,550 m da praia,Ubatuba,335 avaliações
Pousada Pérola Verde,R$ 250,750 m da praia,Ubatuba,4 avaliações
Refúgio do Kairós,R$ 310,250 m da praia,"Praia Perequê-Mirim, Ubatuba",99 avaliações
Pousada Ilha Vitoria,R$ 711,300 m da praia,"Praia da Maranduba, Ubatuba",2.969 avaliações
Green Haven Residence,R$ 324,250 m da praia,"Praia do Itágua, Ubatuba",627 avaliações
Aloha Oe Itaguá,R$ 410,900 m da praia,"Praia do Itágua, Ubatuba",198 avaliações
A casa di Maria,R$ 603,"1,1 km da praia",Ubatuba,133 avaliações
Apto com piscina e churrasqueira a 300 metros da Praia Grande,R$ 338,550 m da praia,"Praia Grande, Ubatuba",6 avaliações
Tropical Casa Ubatuba,R$ 238,550 m da praia,"Praia do Itágua, Ubatuba",75 avaliações
Golden Garden Hostel,R$ 263,600 m da praia,"Praia do Itágua, Ubatuba",113 avaliações
Hostel 7 praias,R$ 175,350 m da praia,"Praia da Lagoinha, Ubatuba",185 avaliações
Chalés Carioca Prumirim Ubatuba,R$ 285,700 m da praia,"Prumirim, Ubatuba",122 avaliações
Praia Suítes Itagua Ubatuba,R$ 280,"1,2 km da praia","Praia do Itágua, Ubatuba",181 avaliações
Casa da Si Suítes & Hostel,R$ 350,350 m da praia,Ubatuba,94 avaliações
Kitnet Ubatuba,R$ 200,1.000 m da praia,Ubatuba,32 avaliações
Marola Hostel,R$ 290,350 m da praia,Ubatuba,17 avaliações
HOSTEL QUINTAL GUEST Ubatuba - PG,R$ 159,Beira-mar,"Praia Grande, Ubatuba",195 avaliações
Suites Coqueiros Itamambuca,R$ 300,"1,9 km da praia","Praia de Itamambuca, Ubatuba",78 avaliações
Lolosa Suítes Container,R$ 360,750 m da praia,"Praia do Itágua, Ubatuba",231 avaliações
Studio Aconchegante 1 - Praia do Lázaro - Ubatuba,R$ 306,400 m da praia,"Praia do Lázaro, Ubatuba",3 avaliações
VELINN Pousada Bali Itamambuca,R$ 613,2 km da praia,"Praia de Itamambuca, Ubatuba",356 avaliações
Pousada Rancho Texas Ubatuba,R$ 360,800 m da praia,Ubatuba,211 avaliações
Efferus Hostel,R$ 350,Sem Avaliação,"Praia do Itágua, Ubatuba",271 avaliações
